phone_name,    input_format,consider_exact_values_of_frequency , populate_inputs_to_considere_thread_combinations_on_same_socket, maximum_number_of_combination, Lamda or kernel ridge coef,search_ridge_coeff,search_strategy,number_of_iteration_during_exploration,l_o_o_on_alpha_exploration,ltolerance,lambda_min,max_iterations,sequential_gap,dichotomic_progression_ratio,standartize_inputs,R2_score,energy_gap,number_of_neighbours,X_format_in_model
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.001000000999,True,explore_all_values,1,1.05995057144964E-21,1E-23,0.000000001,1000,0.001,1000,False,0.38406093714163,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0510111593921015,True,dichotomic,126,1.89491526124649E-22,1E-23,0.000000001,1000,0.001,33,False,0.471140303635464,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,33,False,0.485247942227902,10,10,
