acceptance_degree, static score
1, 1.0
171, 0.9941520467836257
161, 0.9875776397515528
151, 0.9867549668874173
181, 0.9779005524861878
121, 0.9586776859504132
141, 0.9574468085106383
131, 0.9389312977099237
111, 0.9279279279279279
191, 0.9267015706806283
91, 0.9230769230769231
101, 0.9108910891089109
81, 0.9012345679012346
71, 0.8873239436619719
201, 0.8805970149253731
211, 0.8388625592417062
61, 0.819672131147541
221, 0.8009049773755657
231, 0.7662337662337663
31, 0.7419354838709677
241, 0.7344398340248963
41, 0.7317073170731707
11, 0.7272727272727273
51, 0.7254901960784313
251, 0.7051792828685259
261, 0.6781609195402298
21, 0.6666666666666666
271, 0.6531365313653137
281, 0.6298932384341637
291, 0.6082474226804123
301, 0.5880398671096345
311, 0.5691318327974276
321, 0.5514018691588785
331, 0.5347432024169184
341, 0.5190615835777126
351, 0.5042735042735043
361, 0.4903047091412742
371, 0.477088948787062
381, 0.4645669291338583
391, 0.45268542199488493
401, 0.44139650872817954
411, 0.4306569343065693
421, 0.42042755344418054
431, 0.41067285382830626
441, 0.4013605442176871
451, 0.3924611973392461
461, 0.3839479392624729
471, 0.37579617834394907
481, 0.367983367983368
491, 0.3604887983706721
501, 0.3532934131736527
511, 0.34637964774951074
521, 0.3397312859884837
531, 0.3333333333333333
